Click 1: 2025/5/20 下午3:05:14
Click 2: 2025/5/20 下午3:05:16
Click 3: 2025/5/20 下午3:05:17
Button: 超商反掃付款 | Time: 2025/5/20 下午3:11:02
Button: 超商現金儲值交易 | Time: 2025/5/20 下午3:12:37
Button: 綁定扣款年扣定額可改 | Time: 2025/5/20 下午3:23:45
Button: 綁定扣款年扣定額可改 | Time: 2025/5/20 下午3:24:13
Button: 綁定扣款年扣定額可改 | Time: 2025/5/20 下午3:29:19
Button: 超商反掃付款 | Time: 2025/5/20 下午4:00:57
Button: 超商反掃付款 | Time: 2025/5/20 下午4:02:19
Button: 康事美扣款 | Time: 2025/5/20 下午4:03:41
Button: 康事美扣款 | Time: 2025/5/20 下午4:03:57
Button: 康事美扣款 | Time: 2025/5/20 下午4:04:25
Button: 康事美扣款 | Time: 2025/5/20 下午4:04:57
Button: 超商現金儲值交易 | Time: 2025/5/20 下午4:05:57
Button: 超商反掃付款 | Time: 2025/5/20 下午4:06:52
Button: 超商反掃付款 | Time: 2025/5/20 下午4:16:01
Button: 超商反掃付款 | Time: 2025/5/20 下午4:25:43
Button: 超商反掃付款 | Time: 2025/5/20 下午4:32:14
Button: 綁定扣款年扣定額可改 | Time: 2025/5/20 下午5:02:18
Button: 綁定扣款年扣定額可改 | Time: 2025/5/20 下午5:06:07
Button: 綁定扣款年扣定額可改 | Time: 2025/5/20 下午5:09:10
Button: 超商反掃付款 | Time: 2025/5/20 下午5:52:53
Button: 康事美扣款 | Time: 2025/5/21 上午9:46:34
Button: 超商反掃付款 | Time: 2025/5/21 上午9:47:30
Button: 康事美扣款 | IP: ::ffff:10.27.86.103 | Time: 2025/5/21 上午11:10:20
Button: 富利餐飲KFC跳轉URL | IP: ::ffff:10.27.86.47 | Time: 2025/5/21 上午11:11:13
Button: 富利餐飲KFC跳轉URL | IP: ::ffff:10.27.86.47 | Time: 2025/5/21 上午11:11:16
Button: 超商反掃付款 | IP: ::ffff:10.27.86.103 | Time: 2025/5/21 上午11:28:29
Button: 超商現金儲值交易 | IP: ::ffff:10.27.86.47 | Time: 2025/5/21 下午2:57:54
Button: 超商現金儲值交易 | IP: ::ffff:10.27.86.47 | Time: 2025/5/21 下午2:58:41
Button: 超商反掃付款 | IP: ::ffff:10.27.86.47 | Time: 2025/5/21 下午3:01:13
Button: 超商反掃付款 | IP: ::ffff:10.27.86.47 | Time: 2025/5/21 下午3:01:15
Button: 康事美扣款 | IP: ::ffff:10.27.86.103 | Time: 2025/5/21 下午4:27:07
Button: 康事美扣款 | IP: ::ffff:10.27.86.103 | Time: 2025/5/21 下午4:28:36
Button: 康事美扣款 | IP: ::ffff:10.27.86.103 | Time: 2025/5/21 下午4:28:59
Button: 超商反掃付款 | IP: ::ffff:10.27.86.103 | Time: 2025/5/21 下午4:33:36
Button: 康事美掃描Web付款 | IP: ::ffff:10.27.86.103 | Time: 2025/5/21 下午4:34:18
Button: 超商反掃付款 | IP: ::ffff:10.27.86.103 | Time: 2025/5/21 下午4:39:47
Button: 超商現金儲值交易 | IP: ::ffff:10.27.86.103 | Time: 2025/5/21 下午4:45:54
Button: 康事美扣款 | IP: ::ffff:10.27.86.103 | Time: 2025/5/21 下午5:03:13
Button: 超商反掃付款 | IP: ::ffff:10.27.86.103 | Time: 2025/5/21 下午5:05:14
Button: 康事美扣款 | IP: ::ffff:10.27.86.103 | Time: 2025/5/22 下午2:16:27
Button: 康事美扣款 | IP: ::ffff:10.27.86.103 | Time: 2025/5/23 上午10:01:10
Button: 超商反掃付款 | IP: ::ffff:10.27.86.103 | Time: 2025/5/23 上午10:02:43
Button: 超商現金儲值交易 | IP: ::ffff:10.27.86.103 | Time: 2025/5/23 上午10:03:25
Button: 超商取消現金儲值退款 | IP: ::ffff:10.27.86.103 | Time: 2025/5/23 上午10:03:42
Button: 綁定扣款年扣定額可改 | IP: ::ffff:10.27.86.19 | Time: 2025/5/23 下午1:35:56
Button: 綁定扣款年扣定額可改 | IP: ::ffff:10.27.86.19 | Time: 2025/5/23 下午1:41:23
Button: UAT綁定統一超商付費會員 | IP: ::ffff:10.27.86.103 | Time: 2025/5/23 下午2:47:37
Button: UAT綁定統一超商付費會員 | IP: ::ffff:10.27.86.19 | Time: 2025/5/23 下午3:17:21
Button: UAT綁定統一超商付費會員 | IP: ::ffff:10.27.86.103 | Time: 2025/5/23 下午5:57:39
Button: 超商反掃付款 | IP: ::ffff:10.27.86.103 | Time: 2025/5/27 下午2:54:00
Button: 康事美掃描Web付款 | IP: ::ffff:10.27.86.103 | Time: 2025/5/27 下午4:24:11
Button: 超商反掃付款 | IP: ::ffff:10.27.86.103 | Time: 2025/5/27 下午4:28:04
Button: 康事美扣款 | IP: ::ffff:10.27.86.103 | Time: 2025/5/27 下午4:28:51
Button: 超商反掃付款 | IP: ::ffff:10.27.86.103 | Time: 2025/5/27 下午4:34:01
Button: 超商反掃付款 | IP: ::ffff:10.27.86.103 | Time: 2025/5/27 下午4:34:22
Button: 超商反掃付款 | IP: ::ffff:10.27.86.103 | Time: 2025/5/27 下午4:35:01
Button: 超商反掃付款 | IP: ::ffff:10.27.86.103 | Time: 2025/5/27 下午4:36:24
Button: 超商反掃付款 | IP: ::ffff:10.27.86.103 | Time: 2025/5/27 下午4:41:29
Button: 康事美扣款 | IP: ::ffff:10.27.86.103 | Time: 2025/5/27 下午4:58:45
Button: 康事美扣款 | IP: ::ffff:10.27.86.103 | Time: 2025/5/27 下午4:59:45
Button: 康事美扣款 | IP: ::ffff:10.27.86.103 | Time: 2025/5/27 下午5:00:15
Button: 超商現金儲值交易 | IP: ::ffff:10.27.86.103 | Time: 2025/5/27 下午5:03:39
Button: 康事美扣款 | IP: ::ffff:10.27.86.131 | Time: 2025/5/28 上午9:11:34
Button: 康事美扣款 | IP: ::ffff:10.27.86.103 | Time: 2025/5/28 上午9:16:23
Button: 康事美扣款 | IP: ::ffff:10.27.86.103 | Time: 2025/5/28 上午9:17:38
Button: 康事美扣款 | IP: ::ffff:10.27.86.103 | Time: 2025/5/28 上午11:49:11
Button: 康事美扣款 | IP: ::ffff:10.27.86.4 | Time: 2025/5/28 下午5:17:30
Button: 康事美掃描Web付款 | IP: ::ffff:10.27.86.4 | Time: 2025/5/28 下午5:17:34
Button: 康事美掃描Web付款 | IP: ::ffff:10.27.86.103 | Time: 2025/5/28 下午5:21:03
Button: 康事美掃描Web付款 | IP: ::ffff:10.27.86.4 | Time: 2025/5/28 下午5:30:58
Button: 康事美掃描Web付款 | IP: ::ffff:10.27.86.4 | Time: 2025/5/28 下午5:31:50
Button: 康事美掃描Web付款 | IP: ::ffff:10.27.86.103 | Time: 2025/5/28 下午5:31:50
Button: 康事美掃描Web付款 | IP: ::ffff:10.27.86.4 | Time: 2025/5/28 下午5:33:00
Button: 康事美掃描Web付款 | IP: ::ffff:10.27.86.4 | Time: 2025/5/28 下午5:35:02
Button: 康事美掃描Web付款 | IP: ::ffff:10.27.86.103 | Time: 2025/5/28 下午5:36:00
Button: 博客來掃描Web付款 | IP: ::ffff:10.27.86.103 | Time: 2025/5/28 下午5:36:12
Button: 康事美掃描Web付款 | IP: ::ffff:10.27.86.4 | Time: 2025/5/28 下午5:40:10
Button: 康事美掃描Web付款 | IP: ::ffff:10.27.86.103 | Time: 2025/5/28 下午5:40:10
Button: 綁定扣款天扣定額不可改 | IP: ::ffff:10.27.86.103 | Time: 2025/5/28 下午5:40:45
Button: 博客來掃描Web付款 | IP: ::ffff:10.27.86.4 | Time: 2025/5/28 下午5:41:22
Button: 康事美掃描Web付款 | IP: ::ffff:10.27.86.4 | Time: 2025/5/28 下午5:41:24
Button: 康事美扣款 | IP: ::ffff:10.27.86.103 | Time: 2025/5/28 下午5:43:11
Button: 康事美掃描Web付款 | IP: ::ffff:10.27.86.103 | Time: 2025/5/28 下午5:43:13
Button: 康事美掃描Web付款 | IP: ::ffff:10.27.86.4 | Time: 2025/5/28 下午5:46:41
Button: 超商反掃付款 | IP: ::ffff:10.27.86.103 | Time: 2025/5/29 上午11:52:22
Button: 康事美扣款 | IP: ::ffff:10.27.86.131 | Time: 2025/5/29 下午2:18:14
Button: 康事美扣款 | IP: ::ffff:10.27.86.131 | Time: 2025/5/29 下午2:18:54
Button: 超商反掃付款 | IP: ::ffff:10.27.86.103 | Time: 2025/5/29 下午4:36:35
Button: 康事美扣款 | IP: ::ffff:10.27.86.103 | Time: 2025/5/29 下午4:38:22
Button: 康事美扣款 | IP: ::ffff:10.27.86.103 | Time: 2025/5/29 下午4:49:07
Button: 康事美扣款 | IP: ::ffff:10.27.86.103 | Time: 2025/5/29 下午4:49:35
Button: 康事美扣款 | IP: ::ffff:10.27.86.103 | Time: 2025/5/29 下午4:49:58
Button: 康事美扣款 | IP: ::ffff:10.27.86.103 | Time: 2025/5/29 下午4:50:36
Button: 康事美扣款 | IP: ::ffff:10.27.86.103 | Time: 2025/5/29 下午4:56:09
Button: 超商現金儲值交易 | IP: ::ffff:10.27.86.103 | Time: 2025/6/2 下午1:23:28
Button: 超商反掃付款 | IP: ::ffff:10.27.86.103 | Time: 2025/6/2 下午2:45:24
Button: 康事美掃描Web付款 | IP: ::ffff:10.27.86.3 | Time: 2025/6/2 下午2:59:41
Button: 康事美掃描Web付款 | IP: ::ffff:10.27.86.3 | Time: 2025/6/2 下午3:00:34
Button: 康事美掃描Web付款 | IP: ::ffff:10.27.86.3 | Time: 2025/6/2 下午3:12:21
Button: 康事美掃描Web付款 | IP: ::ffff:10.27.86.3 | Time: 2025/6/2 下午3:12:28
Button: 康事美掃描Web付款 | IP: ::ffff:10.27.86.3 | Time: 2025/6/2 下午3:12:29
Button: 康事美掃描Web付款 | IP: ::ffff:10.27.86.3 | Time: 2025/6/2 下午3:12:35
Button: 博客來掃描Web付款 | IP: ::ffff:10.27.86.3 | Time: 2025/6/2 下午3:12:41
Button: 康事美掃描Web付款 | IP: ::ffff:10.27.86.3 | Time: 2025/6/2 下午3:13:02
Button: 康事美掃描Web付款 | IP: ::ffff:10.27.86.3 | Time: 2025/6/2 下午3:13:56
Button: 康事美掃描Web付款 | IP: ::ffff:10.27.86.3 | Time: 2025/6/2 下午3:14:08
Button: 康事美掃描Web付款 | IP: ::ffff:10.27.86.3 | Time: 2025/6/2 下午3:16:06
Button: 康事美掃描Web付款 | IP: ::ffff:10.27.86.103 | Time: 2025/6/2 下午3:34:47
Button: 博客來掃描Web付款 | IP: ::ffff:10.27.86.103 | Time: 2025/6/2 下午3:34:59
Button: 康事美掃描Web付款 | IP: ::ffff:10.27.86.103 | Time: 2025/6/2 下午3:37:37
